H_12158_8_4_2_1|消防车、消防艇以及消防器材、装备和设施，用于与消防和应急救援工作无关的事项
H_12FEBA23599B131ED51661E2C7_2|使用旋转磨轮和旋转切盘进行研磨和切割，未采用与动火作业相同的安全措施
H_133DEA3AE07CE30E3CA5CBF4FF_1|粉尘输送管道中存在火花等点火源时，如与木质板材加工用砂光机连接的除尘风管、纺织梳棉（麻）设备除尘风管等等
H_135CEF1FEDFF160F80424A5DCB_1|对采用惰化防爆的工艺设备未进行氧浓度监测
H_1366C47EC12DFF80EDD0DB6189_1|灭火未符合消防相关规定要求
H_1421F112B0E240588A24E8BE9D_1|未根据粉尘的物理化学性质，正确选用灭火剂
H_1421F112B0E240588A24E8BE9D_2|采用引起粉尘飞扬的灭火措施和方法
H_15577_10_1_1|对于金属粉尘和与水接触可能产生爆炸性气体的粉尘，采用水基灭火器和水灭火
H_15577_10_1_2|粉尘爆炸危险场所工艺设备的连接，如不能保证动火作业安全，其连接未设计为能将各设备方便的分离和移动
H_15577_10_2_1|在紧急情况下，未能及时切断所有动力系统的电源
H_15577_10_3_1|存在粉尘爆炸危险的工艺设备，未采用泄爆、抑爆和隔爆、抗爆中的一种或多种控爆方式，但不能单独采取隔爆
H_15577_10_4_1|生产和处理能导致爆炸的粉料时，若无抑爆装置，也无泄压措施，则所有的工艺设备未采用抗爆设计等
H_15577_10_5_1|各工艺设备之间的连接部分（如管道、法兰等），未与设备本身有相同的强度
H_15577_10_7_1|高强度设备与低强度设备之间的连接部分，未安装隔爆装置
H_15577_11_1_1|不能通过泄压导管向室外泄爆的室内容器设备，未安装无焰泄爆装置
H_15577_11_2_1|具有内联管道的工艺设备，设计指标未能承受至少0.1Mpa的内部超压
H_15577_11_3_1|如采用监控式抑爆装置，未符合GB/T18154的要求
H_15577_4_1_1|不同类别的可燃性粉尘合用同一除尘系统
H_15577_4_3_1|粉尘爆炸危险场所除尘系统与带有可燃气体、高温气体或其他工业气体的风管及设备连通
H_15577_4_4_1|未按工艺分片（分区域）设置相对独立的除尘系统
H_15577_4_4_2|不同防火分区的除尘系统连通
H_15577_4_5_1|管道连接法兰未采用跨接线
H_15577_4_7_1|其他可燃性粉尘除尘系统采用正压吹送时，未采取可靠的防范点燃源的措施
H_15577_4_8_1|所有产尘点均未装设吸尘罩并保证有足够的入口风量以满足作业岗位粉尘捕集要求
H_15577_4_8_2|吸尘罩设计未符合GB/T16758等相关规定
H_15577_5_1_1|风管未采用钢质材料制造，禁止采用干式巷道式构筑物作为除尘风道
H_15577_5_2_1|风管的设计强度未不小于除尘器的设计强度
H_15577_5_3_1|除尘器的安装、使用及维护未符合GB/T17919的相关规定
H_15577_5_4_1|湿式除尘系统水量、流速未能满足去除进入除尘器粉尘的要求，并设置液位、流速的连续监测报警装置
H_15577_5_5_1|未及时清除沉淀的泥浆，并保证水槽（箱）及水质过滤池（箱）无论除尘器处于开启或者停止状态，都要有良好的通风
H_15577_6_1_1_1|湿式除尘系统未采取防冻措施
H_15577_6_1_2_1|袋式除尘器进、出风口未设置风压差监测报警装置，并记录压差数据
H_15577_6_1_2_2|在风压差偏离设定值时监测装置未发出声光报警信号
H_15577_6_1_3_1|干式除尘器未设置锁气卸灰装置，及时清卸灰仓内的积灰
H_15577_6_2_1_1|干式除尘器灰斗内壁未光滑
H_15577_6_2_1_2|干式除尘器未符合7.1.3规定
H_15577_6_2_1_3|泄爆方向无法满足安全要求的，未采用无焰泄爆装置
H_15577_6_2_1_4|对安装在室外的干式除尘器，其进风管上宜设置隔爆阀，其安装未能阻隔爆炸向室内传播
H_15577_6_2_1_5|企业对粉尘爆炸危险场所未制定包括清扫范围、清扫方式、清扫周期等内容的粉尘清理制度
H_15577_6_2_1_6|不能完全防止粉尘泄漏的特殊地点（如粉料进出工艺设备处），未采取有效的除尘措施
H_15577_6_2_1_7|所有可能沉积粉尘的区域（包括粉料贮存间）及设备设施的所有部位未进行及时全面规范清扫
H_15577_6_2_2_1|mm,静电接地未符合4.8.2的规定
H_15577_6_2_3_2|(在一个标准大气压、温度为20℃的状态下的空气量)的新鲜空气,空气中粉末浓度未符合4.3.2a)的规定
H_15577_6_2_3_3|喷粉区按的爆炸性粉尘环境危险区域划未按GB50058的规定划分,各类喷粉室的爆炸性粉尘环境危险区域划分参见附录A
H_15577_6_3_1_1|粉末静电喷涂工艺设计等
H_15577_6_3_2_1|喷粉室安全指标未符合以下规定:a)除喷枪出口等局部区域外等
H_15577_6_3_2_2|喷粉区地面未采用不燃或难燃的防静电、不发火花的材料铺设
H_15577_6_3_2_3|地面未平整光滑无缝隙、凹槽
H_15577_6_3_3_1|在人员操作区的每个操作面间隔6 m处,未配置紧急停止按钮
H_15577_6_3_3_2|粉末静电喷涂作业与喷漆作业如设置在同一作业区内,其爆炸危险区域的划分未符合GB14444、GB50058的相关规定
H_15577_6_3_4_1|喷粉作业区的布置未符合GB50016的相关规定
H_15577_6_4_1_1|喷粉作业未在符合第5章规定的喷粉室内进行
H_15577_6_4_2_1|布置在有明火或产生火花的区域
H_15577_6_4_3_1|喷粉室内所有接触粉末的工件、器具、装置,其表面温度未低于所用粉末引燃温度28℃以上
H_15577_6_4_4_1|灯具、防尘隔板未符合以下要求:a)采用固定式灯具作光源;b)用隔板将灯具与喷粉区隔开等
H_15577_6_4_5_1|进入喷粉区内的电气线路未符合GB50058的规定
H_15577_6_5_2_1|挂具未确保工件接地电阻不大于1×10Ω
H_15577_6_6_1_1|喷粉室及其相连管道未采用不燃、难燃的材料制造
H_15577_6_6_2_1|喷粉室内静电喷涂器(枪)的电极与工件、室壁、导流板、挂具以及运载装置等设施未采取防止产生火花的措施
H_15577_6_6_3_1|烘干室未符合GB14443的相关规定
H_15577_7_1_1_1|进入烘干室的工件受到撞击、振动、强气流冲刷
H_15577_7_1_2_1|烘干室内工件上每千克粉末未补充不小于10 m
H_15577_7_1_3_1|烘干(固化)室的结构未便于清理积粉
H_15577_7_2_1_1|风机的轴承和其他运载设备的部件未设置防止粉尘侵入的防护装置
H_15577_7_2_2_1|静电喷粉枪及其辅助装置未符合GB14773的要求
H_15577_7_2_2_2|自动喷涂机(包含往复机、机器人等)未符合4.7、4.8的规定
H_15577_7_3_3_1|通风、回收、净化装置未符合GB6514和GB15577的有关规定
H_15577_7_3_4_1|未在喷粉室铭牌上标明排风量
H_15577_7_4_2_1|粉末回收装置、净化装置未符合以下规定。a)喷粉室风机不采用塑料风机,其电动机符合所在区域的防爆要求
H_15577_8_1_1_1|喷粉作业如循环使用排放废气时,未遵循以下规定:a)回流到作业区的空气含尘量不超过8 mg/m
H_15577_8_1_2_1|含粉尘的排风管道未采用法兰连接并进行静电跨接
H_15577_8_1_3_1|将粉末涂料置于烘道、取暖设备等易触及热源的场所
H_15577_8_1_4_1|粉末涂料与溶剂型涂料及稀释剂存放在一起
H_15577_8_1_5_1|下列作业过程未制定安全操作规程、应急处置方案并定期修订、完善:a)喷粉设备及其辅助设备在安装、调试、作业前等
H_15577_8_1_7_1|在回收装置、净化装置的卸料口及卸料过程中,供粉桶在加料时,未采取防止粉尘外逸的措施
H_15577_8_2_1_1|喷粉操作未在排风机启动3 min~5 min后,方可开启高压静电发生器和喷粉装置
H_15577_8_2_2_1|在停止作业时,未先停高压静电发生器和喷粉装置,5 min~10 min后再关闭排风机
H_15577_8_3_2_1|设备器具未定期检查和清理,检查、清理的内容和周期参见附录C
H_15577_8_3_2_2|下列检查未做记录:a)喷粉室、风机、回收装置、净化装置的粉末浓度及清理情况;b)喷粉室开口的断面风速;c)风机轴承及其他
H_15577_8_4_10_1|喷粉室日常积粉清理和清粉换色时未对操作人员呼吸系统采取防护措施,并对所用器具采取接地等防静电措施
H_15577_8_4_1_1|当出现喷粉室开口断面风速低于最小设计风速、风机故障、回收供粉系统堵塞、高压系统故障、漏粉跑粉等非正常状态时,未停止作业等
H_15577_8_4_4_1|当自动喷粉系统处于运行状态时,除补喷工位持枪者手臂外,人体其余部分均进入喷粉室
H_15577_8_4_4_2|设备运行或有高压时进行设备维修
H_15577_8_4_6_1|设备维修、清理时未停止其他作业
H_15577_8_4_8_2|矿山、金属冶炼、建筑施工、船舶修造、船舶拆解和危险物品的生产、经营、储存、装卸单位等
H_15577_9_3_1|负责特种设备安全监督管理的部门及其工作人员推荐或者监制、监销特种设备
H_15607_10_1|生产不符合安全性能要求和能效指标以及国家明令淘汰的特种设备
H_15607_1_1|特种设备生产单位未保证特种设备生产符合安全技术规范及相关标准的要求，对其生产的特种设备的安全性能负责
H_15607_3_1|建设项目的职业病防护设施所需费用未纳入建设项目工程预算，并与主体工程同时设计，同时施工，同时投入生产和使用
H_15607_4_2_1_1|建设项目的职业病防护设施设计未符合国家职业卫生标准和卫生要求
H_15607_4_3_2_1|建设项目在竣工验收前，建设单位未进行职业病危害控制效果评价
H_15607_4_3_3_1|其他建设项目的职业病防护设施未由建设单位负责依法组织验收，验收合格后，方可投入生产和使用
H_15607_4_5_1_1|矿山和危险物品生产、储存、使用、装卸的生产经营单位等
H_15607_4_6_1|生产经营单位未将安全评价报告和整改方案落实情况及时报送负有安全生产监督管理职责的部门
H_15607_4_8_1_1|负有安全生产监督管理职责的部门未对安全评价报告和整改方案落实情况进行检查或者抽查
H_15607_4_8_2_1|供电、供气、供热、污水处理等市政基础设施运营单位以及城市轨道交通运营单位，未每三年至少进行一次安全现状评估等
H_15607_5_1_1_1|高层建筑、大型综合体、隧道桥梁、管线管廊等管理单位，未每五年至少进行一次安全现状评估
H_15607_5_1_3_1|职业病诊断未由取得《医疗机构执业许可证》的医疗卫生机构承担
H_15607_5_2_1_2|承担职业病诊断的医疗卫生机构拒绝劳动者进行职业病诊断的要求
H_15607_5_2_3_1|属于火灾高危单位的公众聚集场所经营、管理者和生产、储存、运输、销售易燃易爆危险品的企业未健全火灾风险防范机制等
H_15607_5_2_6_1|本市推进数字消防建设，将其纳入城市数字治理统一管理运行体系等
H_15607_5_2_7_1|设置消防控制室的单位未将消防设施运行状态信息接入城市消防远程监控中心监测系统并实时传输
H_15607_5_2_8_1|保证联网设施和传输网络正常使用，擅自拆除或者停用
H_15607_6_1_1|宾馆、饭店、商场、集贸市场、客运车站、客运码头、民用机场、体育场馆、公共娱乐场所、旅游景区等场所的生产经营单位等
H_15607_6_3_1|建筑物在使用过程中需要改变使用功能、显著增加荷载、增加层数、变动建筑物主体承重结构等，可能影响建筑物安全的
H_15607_6_4_1|大型群众性活动的举办者需要设置临时性建筑物、构筑物及设施设备的，未对其安全性进行检测、检验等
H_15607_6_7_1|托育机构、校外培训机构、养老机构、福利院等经营服务场所未按照消防技术标准配置消防设施、器材
H_15607_7_3_1|对未明确要求设置自动消防设施的，所有人、使用人或者管理人未在服务对象住宿和主要活动场所设置消防应急照明等
H_15607_7_4_1|村（居）民委员会未对独居老人、留守儿童、残疾人等特殊人群加强消防安全帮扶
H_15607_8_10_1|未尽量选用自动化程度高的设备
H_15607_8_2_1|生产、储存危险化学品的单位，未在其作业场所设置通信、报警装置，并保证处于适用状态
H_15607_8_2_2|生产、储存危险化学品的单位，关闭、破坏直接关系生产安全的监控、报警、防护、救生设施、设备等
H_15607_8_4_1|对于涉及多个行业、领域的生产经营单位，负有安全生产监督管理职责的部门未互相配合，组织开展联合检查，避免重复检查
H_15607_8_5_1|任何人发现火灾都未立即报警
H_15607_8_6_2|人员密集场所发生火灾，该场所的现场工作人员未立即组织、引导在场人员疏散
H_15607_8_7_1|任何单位发生火灾，未立即组织力量扑救
H_15607_8_9_1|消防队接到火警，未立即赶赴火灾现场，救助遇险人员，排除险情，扑灭火灾
H_177881C438983BF2017755BCAF_1|生产经营单位进行动火作业、临时用电、高处作业、有限（受限）空间作业、临近高压输电线路作业以及爆破、吊装、挖掘、建（构）筑
H_1790391F3D059549CBC57D605C_1|现场作业方案未经本单位施工技术负责人审查同意后方可实施
H_17EBB008D3641A706CBF3F455D_1|生产经营单位未对危险作业进行全过程记录
H_180D832BAA21873DF0F2AB634D_1|职业卫生监督执法人员依法执行职务时，未出示监督执法证件
H_19CE78FB326197E8FC6FE1E49F_1|职业卫生监督执法人员未忠于职守，秉公执法，严格遵守执法规范
H_1A44F4EE039A4056FB862246DC_1|涉及用人单位的秘密的，未为其保密
H_1AD0D576979A2F4717DA1E73D1_1|建设项目安全设施的设计人、设计单位未对安全设施设计负责
H_1AD0D576979A2F4717DA1E73D1_2|矿山、金属冶炼建设项目和用于生产、储存、装卸危险物品的建设项目的安全设施设计未按照国家有关规定报经有关部门审查等
H_1CD32DE57049A5BECF92598DAF_1|安全生产工作未以人为本，坚持人民至上、生命至上，把保护人民生命安全摆在首位，树牢安全发展理念等
H_1CD32DE57049A5BECF92598DAF_2|安全生产工作实行管行业未管安全、管业务必须管安全、管生产经营必须管安全，强化和落实生产经营单位主体责任与政府监管责任等
H_1CD32DE57049A5BECF92598DAF_3|负有安全生产监督管理职责的部门对涉及安全生产的事项进行审查、验收，收取费用
H_1CD32DE57049A5BECF92598DAF_4|要求接受审查、验收的单位购买其指定品牌或者指定生产、销售单位的安全设备、器材或者其他产品
H_1CD32DE57049A5BECF92598DAF_5|任何单位和个人生产、经营、进口和使用国家明令禁止使用的可能产生职业病危害的设备或者材料
H_1CD32DE57049A5BECF92598DAF_6|特种设备检验机构及其检验人员利用检验工作故意刁难特种设备生产、经营、使用单位的
H_1D357F0F1125BB87D88D4FCA5C_2|危险物品的生产、储存、装卸单位以及矿山、金属冶炼单位，未按照国家有关规定配备相关专业的注册安全工程师从事安全生产管理工作
H_1E308B21A32DD5B9601BE0AC19_2|有下列情形之一的，生产经营单位未及时组织开展针对性的安全风险辨识、评估，确定或者调整安全风险等级等
H_1E340967BB7FCD77CFA609805D_1|生产经营单位发生死亡一人以上或者重伤三人以上的生产安全事故的，未及时组织开展全面、系统的安全风险辨识、评估，完善管控措施
H_1E340967BB7FCD77CFA609805D_2|用人单位未为劳动者建立职业健康监护档案，并按照规定的期限妥善保存
H_1E340967BB7FCD77CFA609805D_3|职业健康监护档案未包括劳动者的职业史、职业病危害接触史、职业健康检查结果和职业病诊疗等有关个人健康资料
H_1E340967BB7FCD77CFA609805D_4|劳动者离开用人单位时，有权索取本人职业健康监护档案复印件，用人单位未如实、无偿提供，并在所提供的复印件上签章
H_1E340967BB7FCD77CFA609805D_5|有关部门收到相关的检举和控告后，未及时处理
H_1E9ED81DCE3FCC1F5E9EC0DB30_1|生产经营单位进行爆破、吊装、高处作业、有限（受限）空间作业、临近油气输送管道作业、临近高压输电线路作业、建筑物和构筑物拆
H_1E9ED81DCE3FCC1F5E9EC0DB30_2|生产经营单位委托其他单位进行危险作业的，未在作业前与受托方签订安全生产管理协议，明确并落实前款规定等
H_1E9ED81DCE3FCC1F5E9EC0DB30_3|生产经营单位将危险作业委托给不具备安全生产条件或者相应资质的单位或者个人
H_1E9ED81DCE3FCC1F5E9EC0DB30_4|生产经营单位未按照危险化学品经营许可证载明的经营方式开展生产经营活动
H_1d2c9e9744e059192dffd24f_1|取得不带储存的危险化学品经营许可证的单位等
H_207580718FEFEEF4CA9B58438E_1|劳务派遣用工单位未履行本法规定的用人单位的义务
H_2150BF54C895354624980218D1_1|矿山、金属冶炼、建筑施工、船舶修造、船舶拆解、运输单位和危险物品的生产、经营、储存、装卸单位等
H_216AA081EA9265D4DC2808F9D4_1|前款规定以外的其他生产经营单位，从业人员超过一百人的，未设置安全生产管理机构或者配备专职安全生产管理人员
H_216AA081EA9265D4DC2808F9D4_2|从业人员一百人以下的，未配备专职或者兼职的安全生产管理人员
H_216AA081EA9265D4DC2808F9D4_3|职业卫生监督执法人员未依法经过资格认定
H_217217C54423E4EC506728BB7D_2|下列单位未建立单位专职消防队，承担本单位的火灾扑救工作
H_217217C54423E4EC506728BB7D_3|生产经营单位未落实安全风险分级管控制度，定期组织本单位安全生产管理、工程技术、岗位操作等相关人员等
H_217217C54423E4EC506728BB7D_4|生产经营单位对存在的重大安全风险，未制定专项管控方案等
H_217217C54423E4EC506728BB7D_7|电梯的安装、改造、修理，未由电梯制造单位或者其委托的依照本法取得相应许可的单位进行
H_21EE48E691609CFAFE81743D58_1|电梯制造单位委托其他单位进行电梯安装、改造、修理的，未对其安装、改造、修理进行安全指导和监控等
H_21EE48E691609CFAFE81743D58_3|用人单位安排未经上岗前职业健康检查的劳动者从事接触职业病危害的作业
H_2244EBC4183B6C28FC90182D09_1|安排有职业禁忌的劳动者从事其所禁忌的作业
H_229C416CB5F55CB0A4FE6865_1|对在职业健康检查中发现有与所从事的职业相关的健康损害的劳动者，未调离原工作岗位，并妥善安置
H_229C416CB5F55CB0A4FE6865_2|对未进行离岗前职业健康检查的劳动者解除或者终止与其订立的劳动合同
